B1,pays
8207,Allemagne
8212,France
8218,Italie
8229,Autriche
8231,Portugal
8236,Espagne
8204,Autre UE/AELE
8205,Autre UE/AELE
8206,Autre UE/AELE
8242,Autre UE/AELE
8250,Autre UE/AELE
8260,Autre UE/AELE
8211,Autre UE/AELE
8214,Autre UE/AELE
8216,Autre UE/AELE
8240,Autre UE/AELE
8261,Autre UE/AELE
8262,Autre UE/AELE
8223,Autre UE/AELE
8224,Autre UE/AELE
8227,Autre UE/AELE
8230,Autre UE/AELE
8232,Autre UE/AELE
8244,Autre UE/AELE
8243,Autre UE/AELE
8251,Autre UE/AELE
8215,Autre UE/AELE
8234,Autre UE/AELE
8217,Autre UE/AELE
8228,Autre UE/AELE
8222,Autre UE/AELE
8300,Afrique
8301,Afrique
8302,Afrique
8303,Afrique
8304,Afrique
8305,Afrique
8306,Afrique
8307,Afrique
8308,Afrique
8309,Afrique
8310,Afrique
8311,Afrique
8312,Afrique
8313,Afrique
8314,Afrique
8315,Afrique
8316,Afrique
8317,Afrique
8318,Afrique
8319,Afrique
8320,Afrique
8321,Afrique
8322,Afrique
8323,Afrique
8324,Afrique
8325,Afrique
8326,Afrique
8327,Afrique
8328,Afrique
8329,Afrique
8330,Afrique
8331,Afrique
8332,Afrique
8333,Afrique
8334,Afrique
8335,Afrique
8336,Afrique
8337,Afrique
8338,Afrique
8339,Afrique
8340,Afrique
8341,Afrique
8342,Afrique
8343,Afrique
8344,Afrique
8345,Afrique
8346,Afrique
8347,Afrique
8348,Afrique
8349,Afrique
8350,Afrique
8351,Afrique
8352,Afrique
8353,Afrique
8354,Afrique
8355,Afrique
8356,Afrique
8357,Afrique
8358,Afrique
8359,Afrique
8360,Afrique
8361,Afrique
8362,Afrique
8363,Afrique
8364,Afrique
8365,Afrique
8366,Afrique
8367,Afrique
8368,Afrique
8369,Afrique
8370,Afrique
8371,Afrique
8372,Afrique
8373,Afrique
8374,Afrique
8375,Afrique
8376,Afrique
8377,Afrique
8378,Afrique
8379,Afrique
8380,Afrique
8381,Afrique
8382,Afrique
8383,Afrique
8384,Afrique
8385,Afrique
8386,Afrique
8387,Afrique
8388,Afrique
8389,Afrique
8390,Afrique
8391,Afrique
8392,Afrique
8393,Afrique
8394,Afrique
8395,Afrique
8396,Afrique
8397,Afrique
8398,Afrique
8399,Afrique
8400,Amerique latine
8401,Amerique latine
8402,Amerique latine
8403,Amerique latine
8404,Amerique latine
8405,Amerique latine
8406,Amerique latine
8408,Amerique latine
8409,Amerique latine
8410,Amerique latine
8411,Amerique latine
8412,Amerique latine
8413,Amerique latine
8414,Amerique latine
8415,Amerique latine
8416,Amerique latine
8417,Amerique latine
8418,Amerique latine
8419,Amerique latine
8420,Amerique latine
8421,Amerique latine
8422,Amerique latine
8424,Amerique latine
8425,Amerique latine
8426,Amerique latine
8428,Amerique latine
8429,Amerique latine
8430,Amerique latine
8431,Amerique latine
8432,Amerique latine
8433,Amerique latine
8434,Amerique latine
8435,Amerique latine
8436,Amerique latine
8437,Amerique latine
8438,Amerique latine
8440,Amerique latine
8441,Amerique latine
8442,Amerique latine
8443,Amerique latine
8444,Amerique latine
8445,Amerique latine
8446,Amerique latine
8447,Amerique latine
8448,Amerique latine
8449,Amerique latine
8450,Amerique latine
8451,Amerique latine
8452,Amerique latine
8453,Amerique latine
8454,Amerique latine
8455,Amerique latine
8456,Amerique latine
8457,Amerique latine
8458,Amerique latine
8459,Amerique latine
8460,Amerique latine
8461,Amerique latine
8462,Amerique latine
8463,Amerique latine
8464,Amerique latine
8465,Amerique latine
8466,Amerique latine
8467,Amerique latine
8468,Amerique latine
8469,Amerique latine
8470,Amerique latine
8471,Amerique latine
8472,Amerique latine
8473,Amerique latine
8474,Amerique latine
8475,Amerique latine
8476,Amerique latine
8477,Amerique latine
8478,Amerique latine
8479,Amerique latine
8480,Amerique latine
8481,Amerique latine
8482,Amerique latine
8483,Amerique latine
8484,Amerique latine
8485,Amerique latine
8486,Amerique latine
8487,Amerique latine
8488,Amerique latine
8489,Amerique latine
8490,Amerique latine
8491,Amerique latine
8492,Amerique latine
8493,Amerique latine
8494,Amerique latine
8495,Amerique latine
8496,Amerique latine
8497,Amerique latine
8498,Amerique latine
8499,Amerique latine
8601,Autre OCDE
8407,Autre OCDE
8423,Autre OCDE
8539,Autre OCDE
8439,Autre OCDE
8514,Autre OCDE
8515,Autre OCDE
8427,Autre OCDE
8607,Autre OCDE
8239,Autre OCDE
8500,Asie
8501,Asie
8502,Asie
8503,Asie
8504,Asie
8505,Asie
8506,Asie
8507,Asie
8508,Asie
8509,Asie
8510,Asie
8511,Asie
8512,Asie
8513,Asie
8516,Asie
8517,Asie
8518,Asie
8519,Asie
8520,Asie
8521,Asie
8522,Asie
8523,Asie
8524,Asie
8525,Asie
8526,Asie
8527,Asie
8528,Asie
8529,Asie
8530,Asie
8531,Asie
8532,Asie
8533,Asie
8534,Asie
8535,Asie
8536,Asie
8537,Asie
8538,Asie
8540,Asie
8541,Asie
8542,Asie
8543,Asie
8544,Asie
8545,Asie
8546,Asie
8547,Asie
8548,Asie
8549,Asie
8550,Asie
8551,Asie
8552,Asie
8553,Asie
8554,Asie
8555,Asie
8556,Asie
8557,Asie
8558,Asie
8559,Asie
8560,Asie
8561,Asie
8562,Asie
8563,Asie
8564,Asie
8565,Asie
8566,Asie
8567,Asie
8568,Asie
8569,Asie
8570,Asie
8571,Asie
8572,Asie
8573,Asie
8574,Asie
8575,Asie
8576,Asie
8577,Asie
8578,Asie
8579,Asie
8580,Asie
8581,Asie
8582,Asie
8583,Asie
8584,Asie
8585,Asie
8586,Asie
8587,Asie
8588,Asie
8589,Asie
8590,Asie
8591,Asie
8592,Asie
8593,Asie
8594,Asie
8595,Asie
8596,Asie
8597,Asie
8598,Asie
8599,Asie
8600,Asie
8602,Asie
8603,Asie
8604,Asie
8605,Asie
8606,Asie
8608,Asie
8609,Asie
8610,Asie
8611,Asie
8612,Asie
8613,Asie
8614,Asie
8615,Asie
8616,Asie
8617,Asie
8618,Asie
8619,Asie
8620,Asie
8621,Asie
8622,Asie
8623,Asie
8624,Asie
8625,Asie
8626,Asie
8627,Asie
8628,Asie
8629,Asie
8630,Asie
8631,Asie
8632,Asie
8633,Asie
8634,Asie
8635,Asie
8636,Asie
8637,Asie
8638,Asie
8639,Asie
8640,Asie
8641,Asie
8642,Asie
8643,Asie
8644,Asie
8645,Asie
8646,Asie
8647,Asie
8648,Asie
8649,Asie
8650,Asie
8651,Asie
8652,Asie
8653,Asie
8654,Asie
8655,Asie
8656,Asie
8657,Asie
8658,Asie
8659,Asie
8660,Asie
8661,Asie
8662,Asie
8663,Asie
8664,Asie
8665,Asie
8666,Asie
8667,Asie
8668,Asie
8669,Asie
8670,Asie
8671,Asie
8672,Asie
8673,Asie
8674,Asie
8675,Asie
8676,Asie
8677,Asie
8678,Asie
8679,Asie
8680,Asie
8681,Asie
8682,Asie
8683,Asie
8684,Asie
8685,Asie
8686,Asie
8687,Asie
8688,Asie
8689,Asie
8690,Asie
8691,Asie
8692,Asie
8693,Asie
8694,Asie
8695,Asie
8696,Asie
8697,Asie
8698,Asie
8699,Asie
8700,Asie